Data File	C:\Users\GPC\Documents\OmniSEC Data\Salty\2023 01 Jan\2023-02-16_15;04;39_230216_SS_P-SS065_01.vdt
Sample ID	230216 SS P-SS065
Method File Name	202301JanCalibration-0011.vcm
Date Acquired	Feb 16, 2023 - 15:04:39
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	Salty
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	 0.000
Col. Temp (Deg C)	35.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 0.800	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	29.140

Ret. Vol.	 17.12
Mn - (Daltons)	 18325
Mw - (Daltons)	 28032
Mz - (Daltons)	 39177
Mp - (Daltons)	 27717
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	279.15
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted IV - DP	Adjusted IV -  IP	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.45333	15.702	-0.364	294.794	28.87967										
0.45667	15.702	-0.338	294.809	28.87844										
0.46000	15.702	-0.313	294.794	28.87722										
0.46333	15.641	-0.288	294.794	28.87539										
0.46667	15.625	-0.278	294.794	28.87234										
0.47000	15.641	-0.286	294.809	28.87112										
0.47333	15.595	-0.295	294.809	28.86990										
0.47667	15.595	-0.303	294.809	28.86868										
0.48000	15.580	-0.312	294.809	28.86563										
0.48333	15.580	-0.312	294.839	28.86441										
0.48667	15.564	-0.304	294.855	28.86441										
0.49000	15.595	-0.295	294.855	28.86441										
0.49333	15.625	-0.287	294.839	28.86257										
0.49667	15.610	-0.278	294.855	28.86196										
0.50000	15.625	-0.278	294.855	28.86196										
0.50333	15.610	-0.287	294.855	28.86196										
0.50667	15.656	-0.295	294.839	28.86135										
0.51000	15.595	-0.304	294.839	28.86013										
0.51333	15.610	-0.312	294.839	28.85830										
0.51667	15.625	-0.303	294.855	28.85769										
0.52000	15.671	-0.278	294.824	28.85769										
0.52333	15.641	-0.252	294.824	28.85708										
0.52667	15.656	-0.227	294.824	28.85769										
0.53000	15.687	-0.202	294.824	28.85952										
0.53333	15.671	-0.212	294.809	28.86074										
0.53667	15.641	-0.254	294.794	28.86135										
0.54000	15.656	-0.297	294.763	28.86135										
0.54333	15.656	-0.339	294.778	28.85952										
0.54667	15.625	-0.381	294.794	28.85952										
0.55000	15.625	-0.396	294.778	28.86013										
0.55333	15.656	-0.387	294.778	28.85952										
