p1 mw,p1 WF,p2 mw,p2 WF
288198.6875,0.0013731460908965967,1124263296,0.005628035869980145
287481.2813,0.001392995208275761,1120174976,0.005719214312769116
286766,0.0014130493884880891,1116108928,0.0058082733133434945
286052.7813,0.001433378057890293,1112062592,0.005894631307600401
285341.6563,0.0014547555532596305,1108033280,0.005989870535853351
284632.9375,0.0014756219442121831,1104025856,0.0060787816045879675
283926.2813,0.001496107654702413,1100035328,0.006172960143804461
283221.375,0.0015183128320208589,1096064000,0.006268660428980025
282518.8438,0.0015394289804100177,1092111872,0.00636590923948805
281818.0625,0.001562183025203492,1088178816,0.00646831501523233
281119.625,0.001583881589746442,1084267008,0.006559892567477756
280422.9375,0.0016072713404131965,1080369152,0.006665817733643224
279728.5625,0.0016303070832035537,1076492544,0.006768727639157682
279036.2188,0.0016536630079297377,1072634560,0.006873232691925747
278345.9063,0.0016765077173344137,1068795008,0.006974862672449294
277657.3125,0.0017012338699155132,1064971584,0.00708253414413866
276971,0.001724718887739481,1061166528,0.007191659445424457
276286.4063,0.0017501469563136,1057379648,0.007345166234496919
275604.0938,0.001774372152260086,1053610944,0.007457916591803733
274923.5,0.0018003590142819587,1049862592,0.007570009402568708
274245.1563,0.0018252671060614385,1046129856,0.007699651091624738
273568.5,0.001851999525084903,1042415040,0.007837860244307854
272894.0938,0.0018766624619737887,1038715584,0.007993076234953128
272221.0625,0.0019051548835017926,1035038400,0.008102815203325568
271550.5938,0.001930426188249694,1031374272,0.008220959668512526
270881.4688,0.001958744045743409,1027729856,0.008307959077158629
270214.5938,0.001986609689228349,1024100544,0.00841007286094002
269549.6563,0.002014782150629972,1020490816,0.008523501575265586
268886.6563,0.0020424020292483407,1016896000,0.008640851693256272
268225.2813,0.0020713191604137707,1013318336,0.008750109762158342
267565.8125,0.0021007535512081216,1009759872,0.008851675375392833
266908.2813,0.0021304110823055157,1006216128,0.008966506941712471
266252.625,0.0021596856039414,1002689216,0.009058421010662086
265598.625,0.002191169070401265,999179072,0.009179006754508922
264946.7813,0.002221084787694227,995685568,0.009307462730345493
264296.5313,0.0022525355927131147,992208640,0.009435540729845576
263648.1875,0.002283354462619311,988746048,0.0095877314579052
263001.4375,0.0023166454542575985,985302016,0.009720518755405617
262356.8438,0.0023481471090920653,981872128,0.009885596008320162
261713.8125,0.0023813994504343237,978460672,0.010037921278532851
261072.6563,0.0024138643127896275,975063168,0.010207821399802355
260433.0781,0.0024490213318478166,971681728,0.01039121687336763
259795.625,0.0024823899567923318,968316288,0.010591322998572487
259159.75,0.0025173185121207657,964968832,0.010771356531526395
258525.7031,0.0025515899015119835,961632960,0.010985446006644554
257893.2031,0.002587475065530225,958317056,0.011175468891159739
257262.5313,0.0026239597250296274,955012544,0.011373952283129965
256633.7031,0.0026595564813152333,951725760,0.011539411222776106
256006.3906,0.0026969793947727574,948454400,0.011707804117023922
255380.9063,0.0027348946142964864,945198464,0.01189103004166489
254757.2188,0.002772085570525474,941955712,0.012086711762685136
254135.0625,0.002810981964135196,938730368,0.012267413650723154
253514.7031,0.0028489847429378776,935518016,0.01246385987445728
252895.8438,0.0028904664920020597,932320832,0.012647814165790201
252279.0625,0.0029282443005737664,929140672,0.012822265973928694
251663.5156,0.002969257754444312,925973376,0.013014420077129902
251049.7344,0.003010973734283855,922820992,0.013209898533026813
250437.7344,0.0030517214604376566,919681280,0.013445562826450291
249827.2188,0.003094452384851401,916560320,0.013645672339407207
249218.4688,0.0031363381598221362,913449984,0.013864737777008935
248611.2031,0.0031802699051261354,910356160,0.014089272014357557
248005.6875,0.003224715971083892,907276864,0.014330344934598562
247401.9063,0.003266952315884606,904211904,0.014562656966702264
246799.3438,0.0033141276916275136,901159296,0.01479689566179644
246198.7813,0.0033572918098900076,898122880,0.015012660460966857
245599.4063,0.0033309928065247386,895098688,0.015250466458975579
245002.0313,0.003395152464289931,892088576,0.015508489109358379
244405.8438,0.0034639026349047174,889094464,0.015733841892132245
243811.6406,0.0035214733876132967,886112320,0.015943080267628314
243218.625,0.0035706938464516837,883144128,0.016138749889534076
242627.2969,0.00361506183548432,880189632,0.016345860918060756
242037.4219,0.0036628131949070744,877248960,0.016577184855814907
241449.5156,0.003707733156746988,874321920,0.016790829567484622
240862.7656,0.003751595475694276,871408512,0.01701451993192835
240277.4375,0.003803060590677507,868506688,0.017258112210448037
239693.7969,0.00385663322811537,865620224,0.01748033019331979
239111.8438,0.003900740979215059,862745216,0.017734882978990025
238531.0313,0.003952280899434077,859885504,0.017954152649644246
237951.8906,0.004005991502347579,857037056,0.018227269348650002
237374.1563,0.004064710784369431,854203712,0.01848977996389884
236798.3594,0.0041203202425008955,851381632,0.018765152583130575
236223.4219,0.0041951367351166615,848572608,0.01905920704173367
235650.4063,0.004265703192383002,845778368,0.019353899688295435
235078.5313,0.004339963165097839,842995264,0.01967497356672178
234508.2813,0.004413843899111755,840224896,0.019964884965882404
233939.4375,0.004489781693931254,837465536,0.020288100710215518
233372.2188,0.004567249807573581,834722560,0.02056334233636777
232806.1094,0.004641941975994659,831988608,0.020904404597208253
232241.6406,0.004710547138683885,829269056,0.02123361811457352
231678.5469,0.004784855854024561,826561984,0.021534412909195045
231117.0625,0.004853115271239267,823865600,0.02184297952967517
230556.6875,0.004916949312737197,821183360,0.022115884574838218
229997.9219,0.0049702579414815234,818511744,0.02243467010741177
229440.5,0.0050298291381345,815854144,0.022714647326973165
228884.4531,0.005086118275861987,813206912,0.02302878615429865
228329.7344,0.005147819674985485,810571904,0.023361350642411478
227776.6094,0.005211811977523396,807950720,0.023659229550442296
227224.5938,0.005281113732778927,805339776,0.023985464749786106
226674.1406,0.005353006388725081,802740800,0.024303908764688145
226124.7969,0.005431979202199182,800153728,0.024634148770926255
225577.2656,0.005499055709636427,797578496,0.024972804759878106
225030.5625,0.005572112587914184,795015104,0.02530445342568524
224485.6875,0.005644615885266178,792461632,0.025684850230357176
223941.8906,0.005723544503208091,789921536,0.02606475193926442
223399.3906,0.005806121664733251,787393088,0.026440516557625672
222858.4688,0.005889958537556675,784876160,0.026808288178315553
222318.6094,0.005976527991854584,782369024,0.027206694918201157
221780.0469,0.006072105349578794,779875008,0.027563442471059067
