Molecular weight (g/mol),WF / dLog MW
"210608_P-SS065, Injection 1","210608_P-SS065, Injection 1"
126103.4844,1.584609866
125829.2188,1.600662112
125556.1094,1.617586136
125284.2813,1.63432157
125013.7188,1.650336266
124744.2969,1.668109775
124476.2734,1.684109569
124209.3672,1.701160431
123943.7188,1.718495965
123679.3203,1.735951304
123416.1563,1.753539085
123154.2266,1.77143681
122893.5391,1.789069414
122634.0625,1.808029056
122375.9531,1.825029731
122118.9141,1.843227625
121863.0859,1.862420559
121608.5938,1.880838275
121355.3047,1.899425387
121103.2031,1.919048071
120852.4219,1.937887192
120602.8281,1.95667851
120354.3984,1.976760626
120107.2813,1.996918082
119861.4609,2.014878273
119616.6641,2.036246538
119373.2891,2.055443525
119131.0625,2.075619936
118890.1094,2.095921755
118650.4219,2.114044428
118411.7422,2.135858536
118174.4531,2.156656265
117938.4141,2.176500082
117703.4922,2.197589397
117469.8125,2.218759537
117237.3672,2.237249851
117005.8906,2.259860039
116775.7813,2.281145334
116546.8828,2.301486254
116319.0781,2.323298931
116092.4766,2.345387459
115867.0859,2.364681482
115642.6328,2.388281107
115419.5078,2.40924716
115197.4453,2.431860447
114976.5703,2.454507828
114756.8672,2.476011753
114538.2188,2.498984814
114320.7344,2.522107124
114104.4219,2.542209864
113889.0156,2.566576481
113674.8906,2.589403152
113461.9141,2.609362841
113249.8359,2.63382268
113039.0156,2.657049179
112829.3359,2.677413225
112620.5469,2.700481176
112412.875,2.723641157
112206.3281,2.746760607
112000.8984,2.768336058
111796.4609,2.790062428
111593.0078,2.815551996
111390.7813,2.835973263
111189.4063,2.860131979
110989.1328,2.885868073
110790.0703,2.906331062
110591.8438,2.93056345
110394.7031,2.955066204
110198.6406,2.978054047
110003.5313,3.000983477
109809.3672,3.027855396
109616.3906,3.048931837
109424.2344,3.075796127
109233.2578,3.098496199
109043.2031,3.121469736
108854.0859,3.146290302
108666.0078,3.169304609
108478.8516,3.194387197
108292.7344,3.217108488
108107.5234,3.242141485
107923.3438,3.2649014
107740.0703,3.291947842
107557.9297,3.312664986
107376.5703,3.338031054
107196.2266,3.361400366
107016.7734,3.387070656
106838.3203,3.412816286
106660.8672,3.434276581
106484.1797,3.460057974
106308.4844,3.486329556
106133.7813,3.512520075
105960.0625,3.533942223
105787.0859,3.560496807
105615.0938,3.58663106
105444.0703,3.610575199
105273.9063,3.636675358
105104.7109,3.660185814
104936.3594,3.683985949
104768.8594,3.710155487
104602.3047,3.733865738
104436.5938,3.760327578
104271.8359,3.783945799
104107.9063,3.810234547
103944.9219,3.833735943
103782.7578,3.857259512
103621.4141,3.883698702
103461.0078,3.907671213
103301.4141,3.934767246
103142.75,3.958751678
102984.8906,3.983022928
102827.8359,4.013050556
102671.8125,4.031847
102516.3672,4.062111855
102361.9375,4.086613655
102208.3047,4.114257813
102055.5781,4.135537624
101903.5234,4.163123131
101752.3672,4.190397739
101602.1016,4.21492672
101452.6172,4.239071846
101303.9063,4.266743183
101156.0859,4.28776598
101008.9219,4.318367481
100862.7422,4.342628956
100717.3281,4.367009163
100572.6797,4.390832424
100428.7891,4.414698124
100285.6563,4.445716858
100143.5,4.462961674
100001.8672,4.494691372
99861.20313,4.522981644
99721.39844,4.544041634
99582.22656,4.568719864
99443.78906,4.597751617
99306.20313,4.622962952
99169.35156,4.651742935
99033.33594,4.677223206
98898.05469,4.702449799
98763.5,4.727480412
98629.67188,4.7566576
98496.67188,4.781518459
98364.39063,4.806366444
98232.82813,4.83087492
98101.97656,4.859710693
97971.94531,4.884402752
97842.625,4.909015179
97714.01563,4.937359333
97586.21094,4.961535931
97459.11719,4.985039711
97332.71875,5.008952618
97207.01563,5.037294865
97082.11719,5.061332703
96957.90625,5.085865498
96834.39063,5.110051632
96711.5625,5.138518333
96589.52344,5.162971973
96468.17188,5.18275404
96347.39844,5.215871811
96227.50781,5.236288071
96108.19531,5.260574818
95989.55469,5.289914608
95871.69531,5.31414175
95754.5,5.339223862
95637.98438,5.367619038
95522.22656,5.39248991
95407.14063,5.41654253
95292.71094,5.436352253
95178.84375,5.470602989
95065.83594,5.489685535
94953.38281,5.514100552
94841.58594,5.543165207
94730.53906,5.56737566
94620.14844,5.597118855
94510.50781,5.610604763
94401.29688,5.646503925
94292.94531,5.671302319
94185.23438,5.690752506
94078.05469,5.721084595
93971.61719,5.746424198
93865.82031,5.77163887
93760.65625,5.796756744
93656.11719,5.828863144
93552.32031,5.848433971
93449.03906,5.874403477
93346.39063,5.906368256
93244.46875,5.932271957
93143.17188,5.958171368
93042.49219,5.984494686
92942.42969,6.0107584
92842.99219,6.042861462
92744.26563,6.062660694
92646.05469,6.088346481
92548.45313,6.120502472
92451.5625,6.139416218
92355.17969,6.172326088
92259.50781,6.19772768
92164.4375,6.223855972
92069.96875,6.250370979
91976.10938,6.276605606
91882.84375,6.302784443
91790.17969,6.329475403
91698.10938,6.355819225
91606.63281,6.390515804
91515.85938,6.409908772
91425.57031,6.43815136
91335.875,6.472829819
91246.86719,6.493365288
91158.34375,6.529024124
91070.50781,6.550180912
90983.15625,6.58653307
90896.49219,6.606947899
90810.30469,6.642604828
90724.79688,6.663059235
90639.76563,6.691559792
90555.3125,6.736364841
90471.64063,6.747918606
90388.33594,6.776458263
90305.60156,6.813625336
90223.54688,6.842533112
90142.05469,6.863400459
90061.03125,6.900759697
89980.67188,6.931167603
89900.88281,6.952104568
89821.55469,6.982514381
89742.79688,7.021905899
89664.69531,7.042779446
89587.04688,7.083403587
89510.0625,7.105931282
89433.53906,7.137570381
89357.57031,7.178507805
89282.25,7.201692581
89207.39063,7.233788013
89133.07813,7.267316341
89059.32031,7.29933691
88986.10938,7.332859039
88913.44531,7.36653471
88841.33594,7.399133682
88769.76563,7.423205853
88698.64844,7.475874901
88628.25781,7.490754128
88558.22656,7.525405884
88488.73438,7.570805073
88419.875,7.595769882
88351.46094,7.630824566
88283.57813,7.667654991
88216.23438,7.703954697
88149.42969,7.74045372
88083.15625,7.778347492
88017.42188,7.816241264
87952.21094,7.843547821
87887.4375,7.893820763
87823.28906,7.921972275
87759.57813,7.960991859
87696.39063,8.001523972
87633.72656,8.042814255
